Image,Operation,Variant,Phase,Width,Height,Threads,Schedule,Build,Repeat,Elapsed_ms,Hash,Reference_Hash,Exact,Differing_Bytes,Max_Abs_Error,Compiler,Flags,Hostname
6000x6000.png,Quantize,quantize_lut_profile,reset_average,6000,6000,1,static,off-avx2,5,9.839169,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,lookup_average,6000,6000,1,static,off-avx2,5,38.481680,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,reset_average,6000,6000,1,static,omp-avx2,6,9.769528,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=1 -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,lookup_average,6000,6000,1,static,omp-avx2,6,65.005786,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=1 -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,reset_average,6000,6000,1,static,off-avx2,6,9.743319,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,lookup_average,6000,6000,1,static,off-avx2,6,38.385965,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,reset_average,6000,6000,1,static,auto-avx2,6,10.247991,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,lookup_average,6000,6000,1,static,auto-avx2,6,39.736835,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,reset_average,6000,6000,1,static,off-avx2,7,9.792333,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,lookup_average,6000,6000,1,static,off-avx2,7,38.352680,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,reset_average,6000,6000,1,static,auto-avx2,7,9.757220,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,lookup_average,6000,6000,1,static,auto-avx2,7,38.785540,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,reset_average,6000,6000,1,static,omp-avx2,7,9.768895,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=1 -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,lookup_average,6000,6000,1,static,omp-avx2,7,64.056955,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=1 -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,reset_average,6000,6000,1,static,auto-avx2,8,9.775321,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,lookup_average,6000,6000,1,static,auto-avx2,8,38.737051,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,reset_average,6000,6000,1,static,omp-avx2,8,9.784806,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=1 -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,lookup_average,6000,6000,1,static,omp-avx2,8,64.237265,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=1 -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,reset_average,6000,6000,1,static,off-avx2,8,9.754267,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,lookup_average,6000,6000,1,static,off-avx2,8,39.111482,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize -march=haswell,hype5
