Image,Operation,Variant,Phase,Width,Height,Threads,Schedule,Build,Repeat,Elapsed_ms,Hash,Reference_Hash,Exact,Differing_Bytes,Max_Abs_Error,Compiler,Flags,Hostname
4000x3000.png,Negative,original,total,4000,3000,1,static,auto-avx2,4,34.899125,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -march=haswell,hype5
4000x3000.png,Negative,linear_bytes,kernel,4000,3000,1,static,auto-avx2,4,4.828152,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -march=haswell,hype5
4000x3000.png,Negative,linear_bytes,total,4000,3000,1,static,auto-avx2,4,4.828152,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -march=haswell,hype5
4000x3000.png,Negative,original,total,4000,3000,1,static,omp-avx2,4,33.873207,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=1 -march=haswell,hype5
4000x3000.png,Negative,linear_bytes,kernel,4000,3000,1,static,omp-avx2,4,4.547059,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=1 -march=haswell,hype5
4000x3000.png,Negative,linear_bytes,total,4000,3000,1,static,omp-avx2,4,4.547059,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=1 -march=haswell,hype5
4000x3000.png,Negative,original,total,4000,3000,1,static,auto-avx2,5,34.953621,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -march=haswell,hype5
4000x3000.png,Negative,linear_bytes,kernel,4000,3000,1,static,auto-avx2,5,4.541929,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -march=haswell,hype5
4000x3000.png,Negative,linear_bytes,total,4000,3000,1,static,auto-avx2,5,4.541929,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -march=haswell,hype5
4000x3000.png,Negative,original,total,4000,3000,1,static,omp-avx2,5,34.285622,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=1 -march=haswell,hype5
