Image,Operation,Build,Component,Median_ms,Min_ms,Max_ms
6000x6000.png,Gaussian_11x11,omp-avx2,SoA separável: End_to_End,43.375845,42.156939,43.462606
6000x6000.png,Gaussian_11x11,omp-avx2,SoA separável: Horizontal_Passes,17.77323,17.294114,17.870631
6000x6000.png,Gaussian_11x11,omp-avx2,SoA separável: Kernel,33.192968,32.471084,33.718669
6000x6000.png,Gaussian_11x11,omp-avx2,SoA separável: SoA_to_AoS,3.762528,3.623575,3.772209
6000x6000.png,Gaussian_11x11,omp-avx2,SoA separável: Vertical_Passes,15.425658,15.17697,15.848038
6000x6000.png,Grayscale,off,AoS direto: Kernel,9.607823,9.588787,14.731615
6000x6000.png,Grayscale,off,SoA ingênuo: AoS_to_SoA,6.357982,6.286227,7.166745
6000x6000.png,Grayscale,off,SoA ingênuo: End_to_End,19.374338,19.135049,28.166761
6000x6000.png,Grayscale,off,SoA ingênuo: Kernel,7.006073,6.912936,12.125909
6000x6000.png,Grayscale,off,SoA ingênuo: SoA_to_AoS,6.048026,5.770994,8.874107
6000x6000.png,Grayscale,off-avx2,AoS direto: Kernel,9.684864,9.666474,9.729498
6000x6000.png,Grayscale,off-avx2,SoA ingênuo: AoS_to_SoA,6.451817,6.400767,6.534844
6000x6000.png,Grayscale,off-avx2,SoA ingênuo: End_to_End,19.028668,18.937539,19.367499
6000x6000.png,Grayscale,off-avx2,SoA ingênuo: Kernel,6.621561,6.596368,6.633857
6000x6000.png,Grayscale,off-avx2,SoA ingênuo: SoA_to_AoS,5.958435,5.880944,6.251113
6000x6000.png,Grayscale,omp,AoS direto: Kernel,9.965455,9.908726,10.044427
6000x6000.png,Grayscale,omp,SoA ingênuo: AoS_to_SoA,6.402605,6.390264,6.562922
6000x6000.png,Grayscale,omp,SoA ingênuo: End_to_End,19.226868,19.181172,19.861786
6000x6000.png,Grayscale,omp,SoA ingênuo: Kernel,6.87733,6.757076,6.92227
6000x6000.png,Grayscale,omp,SoA ingênuo: SoA_to_AoS,5.946933,5.868638,6.509974
6000x6000.png,Grayscale,omp-avx2,AoS direto: Kernel,9.632952,9.596134,9.664351
6000x6000.png,Grayscale,omp-avx2,SoA ingênuo: AoS_to_SoA,6.22715,6.164462,6.567144
6000x6000.png,Grayscale,omp-avx2,SoA ingênuo: End_to_End,19.101493,18.79345,20.800558
6000x6000.png,Grayscale,omp-avx2,SoA ingênuo: Kernel,6.564734,6.439918,6.608215
6000x6000.png,Grayscale,omp-avx2,SoA ingênuo: SoA_to_AoS,6.266128,5.83058,7.852508
