Image,Operation,Layout,Threads,Scalar_build,SIMD_build,Scalar_median_ms,Scalar_min_ms,Scalar_max_ms,SIMD_median_ms,SIMD_min_ms,SIMD_max_ms,Speedup_scalar_over_simd
4000x3000.png,Gaussian_11x11,SoA_Separable,1,off-avx2,omp-avx2,229.901366,229.59992,230.698819,93.874956,93.723091,93.969732,2.4490170306977292
4000x3000.png,Gaussian_11x11,SoA_Separable,2,off-avx2,omp-avx2,116.779461,116.329838,118.593809,48.823571,47.566842,54.490394,2.391866440904128
4000x3000.png,Gaussian_11x11,SoA_Separable,4,off-avx2,omp-avx2,61.022231,59.830434,61.266069,28.035158,27.69515,28.930282,2.1766323200318687
4000x3000.png,Gaussian_11x11,SoA_Separable,8,off-avx2,omp-avx2,34.007282,33.197454,34.152351,14.212835,13.723836,15.716802,2.392716301849701
4000x3000.png,Gaussian_11x11,SoA_Separable,12,off-avx2,omp-avx2,23.671547,23.016137,23.85026,10.92698,10.86263,11.097459,2.166339372818473
4000x3000.png,Gaussian_11x11,SoA_Separable,16,off-avx2,omp-avx2,17.947568,17.807454,18.023628,8.928013,8.851121,9.032694,2.0102533452852276
4000x3000.png,Gaussian_11x11,SoA_Separable,20,off-avx2,omp-avx2,14.496951,14.421802,14.654073,8.004675,7.911937,8.187611,1.8110605364989831
4000x3000.png,Grayscale,AoS,1,off-avx2,omp-avx2,46.601338,46.520245,46.974226,46.151421,46.13616,46.87894,1.0097487139128392
4000x3000.png,Grayscale,AoS,2,off-avx2,omp-avx2,24.575538,24.544674,24.996679,24.392663,24.317102,24.76267,1.0074971314120154
4000x3000.png,Grayscale,AoS,4,off-avx2,omp-avx2,13.011466,12.891111,13.143387,12.86661,12.781207,12.990683,1.0112582879251024
4000x3000.png,Grayscale,AoS,8,off-avx2,omp-avx2,7.485233,7.411253,7.643667,7.487897,7.302968,7.634112,0.999644225875436
4000x3000.png,Grayscale,AoS,12,off-avx2,omp-avx2,5.561245,5.49472,5.599021,5.47648,5.38987,5.489911,1.0154780077714154
4000x3000.png,Grayscale,AoS,16,off-avx2,omp-avx2,4.554635,4.515782,4.573077,4.468216,4.418216,4.480633,1.0193408286439152
4000x3000.png,Grayscale,AoS,20,off-avx2,omp-avx2,3.973295,3.947567,4.01409,3.995294,3.950544,5.634609,0.994493771922667
4000x3000.png,Grayscale,SoA,1,off-avx2,omp-avx2,36.566535,36.498813,37.011284,36.812639,36.42202,37.688536,0.9933146873822332
4000x3000.png,Grayscale,SoA,2,off-avx2,omp-avx2,18.784947,18.36967,19.163231,18.731168,18.68734,18.920058,1.002871096986584
4000x3000.png,Grayscale,SoA,4,off-avx2,omp-avx2,9.681168,9.288639,9.824327,9.619471,9.284472,9.782343,1.0064137622536622
4000x3000.png,Grayscale,SoA,8,off-avx2,omp-avx2,5.367255,5.272948,5.509774,5.290232,5.22946,5.393722,1.014559474896375
4000x3000.png,Grayscale,SoA,12,off-avx2,omp-avx2,3.630469,3.625284,3.634928,3.618544,3.588631,3.630302,1.0032955243877095
4000x3000.png,Grayscale,SoA,16,off-avx2,omp-avx2,2.733857,2.725129,2.751976,2.745615,2.718454,2.78126,0.9957175350513455
4000x3000.png,Grayscale,SoA,20,off-avx2,omp-avx2,2.21867,2.188247,2.386155,2.181083,2.16692,4.209324,1.0172331818642388
6000x6000.png,Gaussian_11x11,AoS_Naive,1,off-avx2,omp-avx2,9177.506014,9176.037121,9186.42935,9177.199376,9173.145855,9184.415136,1.0000334130258521
6000x6000.png,Gaussian_11x11,AoS_Naive,2,off-avx2,omp-avx2,4591.294828,4589.996905,4593.80434,4590.750105,4590.070232,4597.806374,1.0001186566438036
6000x6000.png,Gaussian_11x11,AoS_Naive,4,off-avx2,omp-avx2,2312.21849,2299.560166,2352.404927,2321.069195,2312.600881,2456.794852,0.9961867983000826
