Image,Operation,Threads,Build,Layout,Kernel_median_ms,Kernel_min_ms,Kernel_max_ms
6000x6000.png,Grayscale,20,off-avx2,SoA,6.621561,6.596368,6.633857
6000x6000.png,Grayscale,1,omp,AoS,144.298834,143.91509,144.703252
6000x6000.png,Grayscale,2,omp,AoS,73.739288,72.839339,75.035975
6000x6000.png,Grayscale,4,omp,AoS,38.4192,37.299368,38.933908
6000x6000.png,Grayscale,8,omp,AoS,21.944382,21.759896,22.164359
6000x6000.png,Grayscale,12,omp,AoS,15.505375,15.351384,15.596637
6000x6000.png,Grayscale,16,omp,AoS,11.946689,11.736981,11.983902
6000x6000.png,Grayscale,20,omp,AoS,9.965455,9.908726,10.044427
6000x6000.png,Grayscale,1,omp,SoA,115.60041,115.434114,115.688335
6000x6000.png,Grayscale,2,omp,SoA,59.119306,58.369647,62.268519
6000x6000.png,Grayscale,4,omp,SoA,30.653708,30.285803,34.664594
6000x6000.png,Grayscale,8,omp,SoA,16.725581,16.662948,16.902813
6000x6000.png,Grayscale,12,omp,SoA,11.4846,11.244281,11.496872
6000x6000.png,Grayscale,16,omp,SoA,8.655398,8.58343,8.735137
6000x6000.png,Grayscale,20,omp,SoA,6.87733,6.757076,6.92227
6000x6000.png,Grayscale,1,omp-avx2,AoS,138.806843,138.692214,138.899749
6000x6000.png,Grayscale,2,omp-avx2,AoS,71.204722,69.673328,72.708165
6000x6000.png,Grayscale,4,omp-avx2,AoS,37.79164,37.323383,37.876619
6000x6000.png,Grayscale,8,omp-avx2,AoS,21.186075,21.037763,21.280515
6000x6000.png,Grayscale,12,omp-avx2,AoS,14.971575,14.866076,15.029517
6000x6000.png,Grayscale,16,omp-avx2,AoS,11.582995,11.4546,11.623323
6000x6000.png,Grayscale,20,omp-avx2,AoS,9.632952,9.596134,9.664351
6000x6000.png,Grayscale,1,omp-avx2,SoA,109.527291,109.145192,109.676317
6000x6000.png,Grayscale,2,omp-avx2,SoA,55.467487,54.70887,55.72975
6000x6000.png,Grayscale,4,omp-avx2,SoA,28.607801,28.147317,28.99535
6000x6000.png,Grayscale,8,omp-avx2,SoA,15.789569,15.328147,16.009857
6000x6000.png,Grayscale,12,omp-avx2,SoA,10.960018,10.873965,11.098178
6000x6000.png,Grayscale,16,omp-avx2,SoA,8.233511,8.192248,8.296565
6000x6000.png,Grayscale,20,omp-avx2,SoA,6.564734,6.439918,6.608215
