Image,Operation,Variant,Phase,Width,Height,Threads,Schedule,Build,Samples,Median_ms,Min_ms,Max_ms,Scalar_to_Auto,Auto_to_Omp,Original_to_Variant,All_Exact,Max_Abs_Error
poke.jpg,Gaussian_3x3,production_float,total_including_allocation,640,360,1,static,auto-avx2,1,5.905328,5.905328,5.905328,0.749381,,,yes,0
poke.jpg,Gaussian_3x3,production_float,total_including_allocation,640,360,1,static,off-avx2,1,4.425338,4.425338,4.425338,,,,yes,0
poke.jpg,Gaussian_3x3,production_float,total_including_allocation,640,360,1,static,omp-avx2,1,4.956637,4.956637,4.956637,,1.191398,,yes,0
poke.jpg,Gaussian_3x3,soa_direct,aos_to_soa,640,360,1,static,auto-avx2,1,0.248374,0.248374,0.248374,0.893278,,,yes,0
poke.jpg,Gaussian_3x3,soa_direct,aos_to_soa,640,360,1,static,off-avx2,1,0.221867,0.221867,0.221867,,,,yes,0
poke.jpg,Gaussian_3x3,soa_direct,aos_to_soa,640,360,1,static,omp-avx2,1,0.232059,0.232059,0.232059,,1.070305,,yes,0
poke.jpg,Gaussian_3x3,soa_direct,kernel,640,360,1,static,auto-avx2,1,3.860444,3.860444,3.860444,0.967912,,,yes,0
poke.jpg,Gaussian_3x3,soa_direct,kernel,640,360,1,static,off-avx2,1,3.736569,3.736569,3.736569,,,,yes,0
poke.jpg,Gaussian_3x3,soa_direct,kernel,640,360,1,static,omp-avx2,1,3.897050,3.897050,3.897050,,0.990607,,yes,0
poke.jpg,Gaussian_3x3,soa_direct,soa_to_aos,640,360,1,static,auto-avx2,1,0.216109,0.216109,0.216109,0.947762,,,yes,0
poke.jpg,Gaussian_3x3,soa_direct,soa_to_aos,640,360,1,static,off-avx2,1,0.204820,0.204820,0.204820,,,,yes,0
poke.jpg,Gaussian_3x3,soa_direct,soa_to_aos,640,360,1,static,omp-avx2,1,0.215443,0.215443,0.215443,,1.003091,,yes,0
poke.jpg,Gaussian_3x3,soa_direct,total,640,360,1,static,auto-avx2,1,4.324927,4.324927,4.324927,0.962619,,0.726933,yes,0
poke.jpg,Gaussian_3x3,soa_direct,total,640,360,1,static,off-avx2,1,4.163256,4.163256,4.163256,,,0.728759,yes,0
poke.jpg,Gaussian_3x3,soa_direct,total,640,360,1,static,omp-avx2,1,4.344552,4.344552,4.344552,,0.995483,0.715341,yes,0
poke.jpg,Gaussian_3x3,soa_separable,aos_to_soa,640,360,1,static,auto-avx2,1,0.248374,0.248374,0.248374,0.893278,,,yes,0
poke.jpg,Gaussian_3x3,soa_separable,aos_to_soa,640,360,1,static,off-avx2,1,0.221867,0.221867,0.221867,,,,yes,0
poke.jpg,Gaussian_3x3,soa_separable,aos_to_soa,640,360,1,static,omp-avx2,1,0.232059,0.232059,0.232059,,1.070305,,yes,0
poke.jpg,Gaussian_3x3,soa_separable,horizontal,640,360,1,static,auto-avx2,1,0.198734,0.198734,0.198734,3.774945,,,yes,0
poke.jpg,Gaussian_3x3,soa_separable,horizontal,640,360,1,static,off-avx2,1,0.750210,0.750210,0.750210,,,,yes,0
poke.jpg,Gaussian_3x3,soa_separable,horizontal,640,360,1,static,omp-avx2,1,0.194253,0.194253,0.194253,,1.023068,,yes,0
poke.jpg,Gaussian_3x3,soa_separable,kernel,640,360,1,static,auto-avx2,1,2.132546,2.132546,2.132546,1.476807,,,yes,0
poke.jpg,Gaussian_3x3,soa_separable,kernel,640,360,1,static,off-avx2,1,3.149359,3.149359,3.149359,,,,yes,0
poke.jpg,Gaussian_3x3,soa_separable,kernel,640,360,1,static,omp-avx2,1,2.135061,2.135061,2.135061,,0.998822,,yes,0
poke.jpg,Gaussian_3x3,soa_separable,soa_to_aos,640,360,1,static,auto-avx2,1,0.205672,0.205672,0.205672,1.017956,,,yes,0
poke.jpg,Gaussian_3x3,soa_separable,soa_to_aos,640,360,1,static,off-avx2,1,0.209365,0.209365,0.209365,,,,yes,0
poke.jpg,Gaussian_3x3,soa_separable,soa_to_aos,640,360,1,static,omp-avx2,1,0.260698,0.260698,0.260698,,0.788928,,yes,0
poke.jpg,Gaussian_3x3,soa_separable,total,640,360,1,static,auto-avx2,1,2.586592,2.586592,2.586592,1.384289,,1.215472,yes,0
poke.jpg,Gaussian_3x3,soa_separable,total,640,360,1,static,off-avx2,1,3.580591,3.580591,3.580591,,,0.847349,yes,0
poke.jpg,Gaussian_3x3,soa_separable,total,640,360,1,static,omp-avx2,1,2.627818,2.627818,2.627818,,0.984312,1.182668,yes,0
poke.jpg,Gaussian_3x3,soa_separable,vertical,640,360,1,static,auto-avx2,1,1.933812,1.933812,1.933812,1.240632,,,yes,0
poke.jpg,Gaussian_3x3,soa_separable,vertical,640,360,1,static,off-avx2,1,2.399149,2.399149,2.399149,,,,yes,0
poke.jpg,Gaussian_3x3,soa_separable,vertical,640,360,1,static,omp-avx2,1,1.940808,1.940808,1.940808,,0.996395,,yes,0
poke.jpg,Gaussian_5x5,aos_direct,kernel,640,360,1,static,auto-avx2,1,6.754288,6.754288,6.754288,0.967525,,,yes,0
poke.jpg,Gaussian_5x5,aos_direct,kernel,640,360,1,static,off-avx2,1,6.534942,6.534942,6.534942,,,,yes,0
poke.jpg,Gaussian_5x5,aos_direct,kernel,640,360,1,static,omp-avx2,1,6.704091,6.704091,6.704091,,1.007488,,yes,0
poke.jpg,Gaussian_5x5,aos_direct,total,640,360,1,static,auto-avx2,1,6.754288,6.754288,6.754288,0.967525,,,yes,0
poke.jpg,Gaussian_5x5,aos_direct,total,640,360,1,static,off-avx2,1,6.534942,6.534942,6.534942,,,,yes,0
poke.jpg,Gaussian_5x5,aos_direct,total,640,360,1,static,omp-avx2,1,6.704091,6.704091,6.704091,,1.007488,,yes,0
poke.jpg,Gaussian_5x5,aos_separable,horizontal,640,360,1,static,auto-avx2,1,0.431854,0.431854,0.431854,3.071941,,,yes,0
poke.jpg,Gaussian_5x5,aos_separable,horizontal,640,360,1,static,off-avx2,1,1.326630,1.326630,1.326630,,,,yes,0
poke.jpg,Gaussian_5x5,aos_separable,horizontal,640,360,1,static,omp-avx2,1,0.455241,0.455241,0.455241,,0.948627,,yes,0
poke.jpg,Gaussian_5x5,aos_separable,kernel,640,360,1,static,auto-avx2,1,2.490880,2.490880,2.490880,1.687373,,,yes,0
poke.jpg,Gaussian_5x5,aos_separable,kernel,640,360,1,static,off-avx2,1,4.203044,4.203044,4.203044,,,,yes,0
poke.jpg,Gaussian_5x5,aos_separable,kernel,640,360,1,static,omp-avx2,1,2.684618,2.684618,2.684618,,0.927834,,yes,0
poke.jpg,Gaussian_5x5,aos_separable,total,640,360,1,static,auto-avx2,1,2.490880,2.490880,2.490880,1.687373,,2.711607,yes,0
poke.jpg,Gaussian_5x5,aos_separable,total,640,360,1,static,off-avx2,1,4.203044,4.203044,4.203044,,,1.554812,yes,0
poke.jpg,Gaussian_5x5,aos_separable,total,640,360,1,static,omp-avx2,1,2.684618,2.684618,2.684618,,0.927834,2.497223,yes,0
poke.jpg,Gaussian_5x5,aos_separable,vertical,640,360,1,static,auto-avx2,1,2.059026,2.059026,2.059026,1.396978,,,yes,0
poke.jpg,Gaussian_5x5,aos_separable,vertical,640,360,1,static,off-avx2,1,2.876414,2.876414,2.876414,,,,yes,0
poke.jpg,Gaussian_5x5,aos_separable,vertical,640,360,1,static,omp-avx2,1,2.229377,2.229377,2.229377,,0.923588,,yes,0
poke.jpg,Gaussian_5x5,production_float,total_including_allocation,640,360,1,static,auto-avx2,1,7.417188,7.417188,7.417188,1.098128,,,yes,0
poke.jpg,Gaussian_5x5,production_float,total_including_allocation,640,360,1,static,off-avx2,1,8.145020,8.145020,8.145020,,,,yes,0
poke.jpg,Gaussian_5x5,production_float,total_including_allocation,640,360,1,static,omp-avx2,1,8.488662,8.488662,8.488662,,0.873776,,yes,0
poke.jpg,Gaussian_5x5,soa_direct,aos_to_soa,640,360,1,static,auto-avx2,1,0.217518,0.217518,0.217518,1.052313,,,yes,0
poke.jpg,Gaussian_5x5,soa_direct,aos_to_soa,640,360,1,static,off-avx2,1,0.228897,0.228897,0.228897,,,,yes,0
poke.jpg,Gaussian_5x5,soa_direct,aos_to_soa,640,360,1,static,omp-avx2,1,0.227484,0.227484,0.227484,,0.956190,,yes,0
poke.jpg,Gaussian_5x5,soa_direct,kernel,640,360,1,static,auto-avx2,1,9.769936,9.769936,9.769936,0.938601,,,yes,0
poke.jpg,Gaussian_5x5,soa_direct,kernel,640,360,1,static,off-avx2,1,9.170074,9.170074,9.170074,,,,yes,0
poke.jpg,Gaussian_5x5,soa_direct,kernel,640,360,1,static,omp-avx2,1,13.063762,13.063762,13.063762,,0.747865,,yes,0
poke.jpg,Gaussian_5x5,soa_direct,soa_to_aos,640,360,1,static,auto-avx2,1,0.212535,0.212535,0.212535,1.090489,,,yes,0
poke.jpg,Gaussian_5x5,soa_direct,soa_to_aos,640,360,1,static,off-avx2,1,0.231767,0.231767,0.231767,,,,yes,0
poke.jpg,Gaussian_5x5,soa_direct,soa_to_aos,640,360,1,static,omp-avx2,1,0.223712,0.223712,0.223712,,0.950038,,yes,0
poke.jpg,Gaussian_5x5,soa_direct,total,640,360,1,static,auto-avx2,1,10.199989,10.199989,10.199989,0.944191,,0.662186,yes,0
poke.jpg,Gaussian_5x5,soa_direct,total,640,360,1,static,off-avx2,1,9.630738,9.630738,9.630738,,,0.678550,yes,0
poke.jpg,Gaussian_5x5,soa_direct,total,640,360,1,static,omp-avx2,1,13.514958,13.514958,13.514958,,0.754719,0.496050,yes,0
poke.jpg,Gaussian_5x5,soa_separable,aos_to_soa,640,360,1,static,auto-avx2,1,0.217518,0.217518,0.217518,1.052313,,,yes,0
poke.jpg,Gaussian_5x5,soa_separable,aos_to_soa,640,360,1,static,off-avx2,1,0.228897,0.228897,0.228897,,,,yes,0
poke.jpg,Gaussian_5x5,soa_separable,aos_to_soa,640,360,1,static,omp-avx2,1,0.227484,0.227484,0.227484,,0.956190,,yes,0
poke.jpg,Gaussian_5x5,soa_separable,horizontal,640,360,1,static,auto-avx2,1,0.279541,0.279541,0.279541,4.580974,,,yes,0
poke.jpg,Gaussian_5x5,soa_separable,horizontal,640,360,1,static,off-avx2,1,1.280570,1.280570,1.280570,,,,yes,0
poke.jpg,Gaussian_5x5,soa_separable,horizontal,640,360,1,static,omp-avx2,1,0.303795,0.303795,0.303795,,0.920163,,yes,0
poke.jpg,Gaussian_5x5,soa_separable,kernel,640,360,1,static,auto-avx2,1,2.170124,2.170124,2.170124,1.913414,,,yes,0
poke.jpg,Gaussian_5x5,soa_separable,kernel,640,360,1,static,off-avx2,1,4.152346,4.152346,4.152346,,,,yes,0
poke.jpg,Gaussian_5x5,soa_separable,kernel,640,360,1,static,omp-avx2,1,2.378581,2.378581,2.378581,,0.912361,,yes,0
poke.jpg,Gaussian_5x5,soa_separable,soa_to_aos,640,360,1,static,auto-avx2,1,0.203513,0.203513,0.203513,1.039703,,,yes,0
poke.jpg,Gaussian_5x5,soa_separable,soa_to_aos,640,360,1,static,off-avx2,1,0.211593,0.211593,0.211593,,,,yes,0
poke.jpg,Gaussian_5x5,soa_separable,soa_to_aos,640,360,1,static,omp-avx2,1,0.209063,0.209063,0.209063,,0.973453,,yes,0
poke.jpg,Gaussian_5x5,soa_separable,total,640,360,1,static,auto-avx2,1,2.591155,2.591155,2.591155,1.772505,,2.606671,yes,0
poke.jpg,Gaussian_5x5,soa_separable,total,640,360,1,static,off-avx2,1,4.592836,4.592836,4.592836,,,1.422856,yes,0
poke.jpg,Gaussian_5x5,soa_separable,total,640,360,1,static,omp-avx2,1,2.815128,2.815128,2.815128,,0.920439,2.381452,yes,0
