Function	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_PENDING	Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK	Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_NO_EXECUTE	Hardware Event Count:CYCLE_ACTIVITY.STALLS_LDM_PENDING	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_PENDING	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE	Hardware Event Count:INT_MISC.RECOVERY_CYCLES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_MISS_PS	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=6	Hardware Event Count:RESOURCE_STALLS.SB	Hardware Event Count:RS_EVENTS.EMPTY_CYCLES	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=1	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=2	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=3	Hardware Event Count:UOPS_ISSUED.ANY	Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD_PS	Module	Function (Full)	Source File	Start Address
func@0x1e7c4	103500000	23000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libgomp.so.1.0.0	func@0x1e7c4	[Unknown]	0x1e7c4
update_curr	103500000	57500000	23000000	0	0	3500105	70000105	70000105	0	0	0	0	0	70000105	0	0	0	0	0	0	70000105	0	0	3500105	3500105	0	0	0	0	vmlinux	update_curr	[Unknown]	0xffffffff844ec230
[Loop@0x152f85 in __memcpy_avx_unaligned_erms]	92000000	69000000	23000000	70000105	3500105	3500105	0	70000105	0	0	0	0	0	0	0	70000105	0	70000105	0	0	70000105	70000105	0	21000630	14000420	0	0	0	0	libc.so.6	[Loop@0x152f85 in __memcpy_avx_unaligned_erms]	[Unknown]	0x152f85
update_load_avg	92000000	115000000	0	0	7000210	7000210	280000420	0	70000105	70000105	0	0	0	0	0	0	0	0	0	0	0	0	0	14000420	0	0	0	0	0	vmlinux	update_load_avg	[Unknown]	0xffffffff844e8870
[Loop@0x1c5f0 in stbi__convert_format]	80500000	11500000	34500000	0	0	0	140000210	70000105	0	0	0	0	0	70000105	0	0	0	140000210	0	0	70000105	0	0	0	0	0	0	0	0	layout_benchmark	[Loop@0x1c5f0 in stbi__convert_format(unsigned char*, int, int, unsigned int, unsigned int)]	[Unknown]	0x1c5f0
[Loop@0x43c80 in gaussian_11_horizontal_pass._omp_fn.0]	57500000	34500000	253000000	0	0	3500105	0	0	0	0	0	0	0	70000105	0	0	0	70000105	0	70000105	210000315	70000105	0	28000840	0	0	0	0	0	layout_benchmark	[Loop@0x43c80 in gaussian_11_horizontal_pass._omp_fn.0]	[Unknown]	0x43c80
update_cfs_group	57500000	34500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70000105	0	70000105	70000105	0	0	3500105	0	0	0	0	0	vmlinux	update_cfs_group	[Unknown]	0xffffffff844ec590
__update_load_avg_se	46000000	0	46000000	0	0	0	0	0	70000105	0	0	0	0	70000105	0	0	0	0	140000210	0	70000105	0	0	3500105	0	0	0	0	0	vmlinux	__update_load_avg_se	[Unknown]	0xffffffff844fe1b0
hrtimer_interrupt	46000000	34500000	0	0	0	0	0	0	0	70000105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vmlinux	hrtimer_interrupt	[Unknown]	0xffffffff84555aa0
task_tick_fair	46000000	34500000	0	0	0	3500105	70000105	140000210	0	0	0	0	0	0	0	0	70000105	70000105	0	0	0	0	0	0	0	0	0	0	0	vmlinux	task_tick_fair	[Unknown]	0xffffffff844ec9b0
