Experiment,Build,Image,Width,Height,Threads,Schedule,Chunk,Touch_Mode,Repeat,Copy_ms,Horizontal_ms,Vertical_ms,Total_ms
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,1,static,,fresh,0,177.352394,59.757492,119.643715,356.753601
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,1,static,,fresh,1,179.890312,58.259994,111.109385,349.259691
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,1,static,,fresh,2,179.773442,57.969730,111.154668,348.897840
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,1,static,,fresh,3,180.028094,57.971721,110.875280,348.875095
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,1,static,,fresh,4,180.087904,57.972883,110.874874,348.935661
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,1,static,,fresh,5,179.743897,58.257715,110.963950,348.965562
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,1,static,,fresh,6,179.943993,58.272172,110.942821,349.158986
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,1,static,,fresh,7,181.335970,58.097755,110.911892,350.345617
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,1,static,,fresh,8,180.281311,58.117950,110.954551,349.353812
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,1,static,,fresh,9,180.112800,57.941727,110.914403,348.968930
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,2,static,,fresh,0,91.640370,29.740509,56.841732,178.222611
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,2,static,,fresh,1,92.253760,32.134654,61.106048,185.494462
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,2,static,,fresh,2,94.088278,29.530150,56.475922,180.094350
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,2,static,,fresh,3,91.237051,30.155609,56.223735,177.616395
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,2,static,,fresh,4,91.577253,29.519538,56.553249,177.650040
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,2,static,,fresh,5,91.806184,30.439835,56.902837,179.148856
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,2,static,,fresh,6,91.674835,29.626551,56.164987,177.466373
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,2,static,,fresh,7,91.691004,29.492348,56.571208,177.754560
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,2,static,,fresh,8,91.682613,29.575064,56.146473,177.404150
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,2,static,,fresh,9,91.766450,29.612915,56.681589,178.060954
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,4,static,,fresh,0,50.085227,17.067533,31.088939,98.241699
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,4,static,,fresh,1,48.398969,16.333241,31.368978,96.101188
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,4,static,,fresh,2,48.438962,16.377293,31.033295,95.849550
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,4,static,,fresh,3,48.867811,16.281895,31.106626,96.256332
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,4,static,,fresh,4,48.375024,16.986014,32.275906,97.636944
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,4,static,,fresh,5,49.139342,16.766796,31.109441,97.015579
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,4,static,,fresh,6,48.448020,16.275921,31.383804,96.107745
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,4,static,,fresh,7,48.336085,16.452942,31.285176,96.074203
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,4,static,,fresh,8,48.730231,16.302623,31.079936,96.112790
