Experiment,Build,Image,Threads,Round,Order,Schedule,Chunk,Thread,Rows,Work_ms
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,1,dynamic,1,1,309,4.702795
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,1,dynamic,1,2,311,4.693881
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,1,dynamic,1,3,313,4.700325
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,1,dynamic,1,4,312,4.691480
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,1,dynamic,1,5,312,4.701035
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,1,dynamic,1,6,312,4.693337
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,1,dynamic,1,7,312,4.691469
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,1,dynamic,1,8,312,4.694561
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,1,dynamic,1,9,312,4.696535
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,1,dynamic,1,10,285,4.697356
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,1,dynamic,1,11,285,4.689112
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,1,dynamic,1,12,288,4.689807
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,1,dynamic,1,13,283,4.692324
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,1,dynamic,1,14,278,4.698347
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,1,dynamic,1,15,284,4.699055
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,1,dynamic,1,16,286,4.689272
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,1,dynamic,1,17,285,4.698735
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,1,dynamic,1,18,285,4.696663
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,1,dynamic,1,19,286,4.690168
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,2,static,16,0,304,3.876761
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,2,static,16,1,304,4.710685
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,2,static,16,2,304,4.708091
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,2,static,16,3,304,4.710225
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,2,static,16,4,304,4.730726
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,2,static,16,5,304,4.730638
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,2,static,16,6,304,4.735164
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,2,static,16,7,304,4.709611
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,2,static,16,8,304,4.712768
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,2,static,16,9,304,4.722428
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,2,static,16,10,304,5.117727
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,2,static,16,11,304,5.109480
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,2,static,16,12,304,5.156199
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,2,static,16,13,304,5.137332
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,2,static,16,14,304,5.139863
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,2,static,16,15,288,4.847135
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,2,static,16,16,288,4.882544
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,2,static,16,17,288,4.877292
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,2,static,16,18,288,4.859956
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,2,static,16,19,288,4.847158
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,3,static,,0,300,3.847385
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,3,static,,1,300,4.630120
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,3,static,,2,300,4.646238
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,3,static,,3,300,4.635515
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,3,static,,4,300,4.626455
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,3,static,,5,300,4.611608
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,3,static,,6,300,4.642915
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,3,static,,7,300,4.634488
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,3,static,,8,300,4.686734
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,3,static,,9,300,4.615489
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,3,static,,10,300,5.171835
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,3,static,,11,300,5.186019
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,3,static,,12,300,5.181715
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,3,static,,13,300,5.193643
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,3,static,,14,300,5.159521
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,3,static,,15,300,5.285554
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,3,static,,16,300,5.194606
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,3,static,,17,300,5.243951
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,3,static,,18,300,5.197370
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,3,static,,19,300,5.212927
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,4,dynamic,16,0,384,4.930681
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,4,dynamic,16,1,320,4.944444
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,4,dynamic,16,2,320,4.923569
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,4,dynamic,16,3,320,4.915239
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,4,dynamic,16,4,320,4.945338
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,4,dynamic,16,5,320,4.943272
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,4,dynamic,16,6,320,4.932797
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,4,dynamic,16,7,352,4.776413
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,4,dynamic,16,8,304,4.708232
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,4,dynamic,16,9,320,4.932156
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,4,dynamic,16,10,272,4.825447
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,4,dynamic,16,11,272,4.819043
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,4,dynamic,16,12,272,4.810879
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,4,dynamic,16,13,272,4.838802
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,4,dynamic,16,14,272,4.804039
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,4,dynamic,16,15,272,4.808147
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,4,dynamic,16,16,272,4.877716
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,4,dynamic,16,17,272,4.849959
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,4,dynamic,16,18,272,4.821585
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,4,dynamic,16,19,272,4.803734
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,0,dynamic,16,0,384,4.924985
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,0,dynamic,16,1,320,4.943335
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,0,dynamic,16,2,320,4.956143
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,0,dynamic,16,3,320,4.954644
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,0,dynamic,16,4,320,4.938059
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,0,dynamic,16,5,320,4.925508
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,0,dynamic,16,6,320,4.945649
