Function	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_PENDING	Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK	Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_NO_EXECUTE	Hardware Event Count:CYCLE_ACTIVITY.STALLS_LDM_PENDING	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_PENDING	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE	Hardware Event Count:INT_MISC.RECOVERY_CYCLES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_MISS_PS	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=6	Hardware Event Count:RESOURCE_STALLS.SB	Hardware Event Count:RS_EVENTS.EMPTY_CYCLES	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=1	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=2	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=3	Hardware Event Count:UOPS_ISSUED.ANY	Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD_PS	Module	Function (Full)	Source File	Start Address
[Loop@0x46013 in _Z18gaussian_11_planarRK9PlanarRgbRS_ii._omp_fn.0]	149500000	126500000	713000000	0	3500105	0	0	0	0	0	0	0	0	140000210	0	0	0	210000315	280000420	0	630000945	840001260	0	0	0	0	0	0	0	layout_benchmark	[Loop@0x46013 in _Z18gaussian_11_planarRK9PlanarRgbRS_ii._omp_fn.0]	[Unknown]	0x46013
__memset_avx2_unaligned_erms	69000000	34500000	0	0	3500105	0	0	0	0	0	0	0	0	0	0	70000105	0	0	0	0	70000105	0	0	0	10500315	0	0	0	0	libc.so.6	__memset_avx2_unaligned_erms	[Unknown]	0x153480
[Loop@0x13318 in stbi__zbuild_huffman]	57500000	34500000	57500000	0	0	0	0	0	0	0	0	0	0	70000105	0	0	0	0	0	0	210000315	70000105	0	10500315	0	0	0	0	0	layout_benchmark	[Loop@0x13318 in stbi__zbuild_huffman(stbi__zhuffman*, unsigned char const*, int)]	[Unknown]	0x13318
[Loop@0x1c5f0 in stbi__convert_format]	57500000	115000000	46000000	70000105	7000210	3500105	70000105	70000105	70000105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	layout_benchmark	[Loop@0x1c5f0 in stbi__convert_format(unsigned char*, int, int, unsigned int, unsigned int)]	[Unknown]	0x1c5f0
[Loop@0x21ea0 in stbi__parse_zlib]	57500000	23000000	23000000	0	3500105	0	0	0	0	70000105	0	0	0	140000210	0	0	0	0	0	70000105	70000105	70000105	0	14000420	24500735	0	0	0	0	layout_benchmark	[Loop@0x21ea0 in stbi__parse_zlib(stbi__zbuf*, int)]	[Unknown]	0x21ea0
update_cfs_group	57500000	11500000	11500000	0	0	3500105	140000210	70000105	140000210	0	0	0	0	70000105	0	0	0	0	70000105	0	210000315	0	0	0	0	0	0	0	0	vmlinux	update_cfs_group	[Unknown]	0xffffffff844ec590
update_load_avg	57500000	11500000	23000000	0	0	0	0	70000105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3500105	0	0	0	0	0	vmlinux	update_load_avg	[Unknown]	0xffffffff844e8870
[Loop@0x215f8 in stbi__compute_huffman_codes]	34500000	11500000	46000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70000105	0	0	3500105	10500315	0	0	0	0	layout_benchmark	[Loop@0x215f8 in stbi__compute_huffman_codes(stbi__zbuf*)]	[Unknown]	0x215f8
arch_scale_freq_tick	34500000	11500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70000105	0	0	0	0	0	0	0	0	0	0	vmlinux	arch_scale_freq_tick	[Unknown]	0xffffffff8444bf70
common_interrupt_return	34500000	11500000	0	0	0	0	70000105	0	0	0	0	0	0	0	0	0	70000105	0	0	0	0	0	0	14000420	21000630	0	0	0	0	vmlinux	common_interrupt_return	[Unknown]	0xffffffff85001150
