Run_ID,Timestamp_UTC,Image,Operation,Width,Height,Layout,Phase,Repeat,Threads,Schedule,Chunk,Simd_Build,OMP_Places,OMP_Proc_Bind,Hostname,Compiler,Build_Flags,Elapsed_ms,Result_Hash,Validation
layout-Gaussian_11x11-simd_omp-t1-r1-6000x6000.png,2026-09-19T18:11:51Z,6000x6000.png,Gaussian_11x11,5990,5990,AoS,Kernel,1,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,9214.152387,c923a906c8989668,passed
layout-Gaussian_11x11-simd_omp-t1-r1-6000x6000.png,2026-09-19T18:11:51Z,6000x6000.png,Gaussian_11x11,5990,5990,SoA,AoS_to_SoA,1,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,75.692129,c923a906c8989668,passed
layout-Gaussian_11x11-simd_omp-t1-r1-6000x6000.png,2026-09-19T18:11:51Z,6000x6000.png,Gaussian_11x11,5990,5990,SoA,Kernel,1,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,18734.359348,c923a906c8989668,passed
layout-Gaussian_11x11-simd_omp-t1-r1-6000x6000.png,2026-09-19T18:11:51Z,6000x6000.png,Gaussian_11x11,5990,5990,SoA,SoA_to_AoS,1,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,73.398521,c923a906c8989668,passed
layout-Gaussian_11x11-simd_omp-t1-r1-6000x6000.png,2026-09-19T18:11:51Z,6000x6000.png,Gaussian_11x11,5990,5990,SoA,End_to_End,1,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,18883.449998,c923a906c8989668,passed
layout-Grayscale-simd_omp-t1-r2-4000x3000.png,2026-09-19T18:11:52Z,4000x3000.png,Grayscale,4000,3000,AoS,Kernel,2,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,47.843199,00925fa85224b60c,passed
layout-Grayscale-simd_omp-t1-r2-4000x3000.png,2026-09-19T18:11:52Z,4000x3000.png,Grayscale,4000,3000,SoA,AoS_to_SoA,2,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,24.637522,00925fa85224b60c,passed
layout-Grayscale-simd_omp-t1-r2-4000x3000.png,2026-09-19T18:11:52Z,4000x3000.png,Grayscale,4000,3000,SoA,Kernel,2,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,38.395426,00925fa85224b60c,passed
layout-Grayscale-simd_omp-t1-r2-4000x3000.png,2026-09-19T18:11:52Z,4000x3000.png,Grayscale,4000,3000,SoA,SoA_to_AoS,2,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,25.347878,00925fa85224b60c,passed
layout-Grayscale-simd_omp-t1-r2-4000x3000.png,2026-09-19T18:11:52Z,4000x3000.png,Grayscale,4000,3000,SoA,End_to_End,2,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,88.380826,00925fa85224b60c,passed
