Schedule,Thread,Mean_Rows,Rows_div_300,Mean_Work_ms,Work_div_Schedule_Mean
"static,1",19,300.0,1.0,4.79636975,1.0577436239552447
"static,16",0,304.0,1.0133333333333334,3.887608416666667,0.8112593205292545
"static,16",1,304.0,1.0133333333333334,4.603368333333333,0.9606228472588714
"static,16",2,304.0,1.0133333333333334,4.612307833333333,0.9624883264734909
"static,16",3,304.0,1.0133333333333334,4.60935575,0.9618722908900512
"static,16",4,304.0,1.0133333333333334,4.600277083333333,0.959977770618993
"static,16",5,304.0,1.0133333333333334,4.654257416666667,0.9712422921058282
"static,16",6,304.0,1.0133333333333334,4.603530416666667,0.9606566705252028
"static,16",7,304.0,1.0133333333333334,4.307444583333333,0.8988699970169964
"static,16",8,304.0,1.0133333333333334,4.591928583333334,0.9582356202500407
"static,16",9,304.0,1.0133333333333334,4.5950620833333335,0.9588895135459756
"static,16",10,304.0,1.0133333333333334,5.1432632499999995,1.0732871735769387
"static,16",11,304.0,1.0133333333333334,5.20853525,1.0869080203017711
"static,16",12,304.0,1.0133333333333334,5.24235825,1.0939661447467708
"static,16",13,304.0,1.0133333333333334,5.259959,1.0976390384529864
"static,16",14,304.0,1.0133333333333334,5.1648955,1.077801353647463
"static,16",15,288.0,0.96,4.951721083333333,1.0333164894626325
"static,16",16,288.0,0.96,4.9771165,1.0386159605670866
"static,16",17,288.0,0.96,4.9782486666666665,1.038852219125636
"static,16",18,288.0,0.96,4.974377166666667,1.0380443212813046
"static,16",19,288.0,0.96,4.875710000000001,1.0174546296227043
"dynamic,1",0,350.3333333333333,1.1677777777777778,4.761212916666667,1.0107959938829019
"dynamic,1",1,312.4166666666667,1.041388888888889,4.71019025,0.9999639836437976
"dynamic,1",2,312.5,1.0416666666666667,4.708867083333334,0.999683078002879
"dynamic,1",3,313.5833333333333,1.0452777777777778,4.709598083333334,0.9998382678430439
"dynamic,1",4,313.4166666666667,1.0447222222222223,4.7088625833333335,0.9996821226618656
"dynamic,1",5,312.25,1.0408333333333333,4.711888416666667,1.0003245010358266
"dynamic,1",6,311.1666666666667,1.0372222222222223,4.707176166666667,0.9993240997713713
"dynamic,1",7,325.8333333333333,1.086111111111111,4.706852166666667,0.9992553152184117
"dynamic,1",8,313.0,1.0433333333333332,4.7088345,0.9996761606262825
"dynamic,1",9,313.8333333333333,1.046111111111111,4.7099805833333335,0.9999194718291766
"dynamic,1",10,282.4166666666667,0.9413888888888889,4.705561416666667,0.9989812915710892
"dynamic,1",11,281.8333333333333,0.9394444444444444,4.704739083333333,0.9988067118466538
"dynamic,1",12,282.0,0.94,4.707016333333333,0.9992901674738978
"dynamic,1",13,281.5,0.9383333333333334,4.7070505,0.9992974209889992
"dynamic,1",14,284.5,0.9483333333333334,4.707980583333334,0.9994948758232537
"dynamic,1",15,282.0,0.94,4.7083615,0.9995757436708815
"dynamic,1",16,281.5,0.9383333333333334,4.706703666666667,0.999223788964972
"dynamic,1",17,282.1666666666667,0.9405555555555556,4.706759083333334,0.9992355538126362
"dynamic,1",18,280.8333333333333,0.936111111111111,4.705074083333334,0.998877831677646
"dynamic,1",19,282.9166666666667,0.9430555555555556,4.704489,0.9987536196544131
"dynamic,16",0,376.0,1.2533333333333334,4.848807833333333,1.008597042750392
"dynamic,16",1,306.6666666666667,1.0222222222222224,4.753167666666667,0.9887030002179125
"dynamic,16",2,309.3333333333333,1.031111111111111,4.796332416666666,0.9976816689335026
"dynamic,16",3,309.3333333333333,1.031111111111111,4.779827,0.9942483890404701
"dynamic,16",4,314.6666666666667,1.048888888888889,4.798498583333333,0.9981322517095585
"dynamic,16",5,310.6666666666667,1.0355555555555556,4.803663083333333,0.9992065156536719
"dynamic,16",6,310.6666666666667,1.0355555555555556,4.808451416666666,1.0002025334390134
"dynamic,16",7,334.6666666666667,1.1155555555555556,4.775134666666667,0.9932723401463349
"dynamic,16",8,310.6666666666667,1.0355555555555556,4.763675666666667,0.9908887617678674
"dynamic,16",9,312.0,1.04,4.793913333333333,0.997178477142854
"dynamic,16",10,285.3333333333333,0.951111111111111,4.805568166666666,0.9996027906726537
"dynamic,16",11,280.0,0.9333333333333333,4.848434,1.0085192819466149
"dynamic,16",12,277.3333333333333,0.9244444444444444,4.788290916666667,0.9960089622810511
"dynamic,16",13,280.0,0.9333333333333333,4.8459655,1.0080058110305448
"dynamic,16",14,288.0,0.96,4.859775666666667,1.0108784539024969
"dynamic,16",15,278.6666666666667,0.928888888888889,4.822887083333334,1.0032052861177314
"dynamic,16",16,274.6666666666667,0.9155555555555556,4.781108416666666,0.9945149356030386
