Image,Threads,Schedule,Chunk,Simd,Total_median_ms,Operations
6000x6000.png,4,dynamic,1,omp-avx2,7089.164166,17
6000x6000.png,4,dynamic,16,off,6985.848658999999,17
6000x6000.png,4,dynamic,16,off-avx2,6975.889395,17
6000x6000.png,4,dynamic,16,omp,6982.876129,17
6000x6000.png,4,dynamic,16,omp-avx2,6959.316792,17
6000x6000.png,4,static,,off,6978.538196,17
6000x6000.png,4,static,,off-avx2,6947.694826,17
6000x6000.png,4,static,,omp,6985.832299,17
6000x6000.png,4,static,,omp-avx2,6951.218951,17
6000x6000.png,8,dynamic,1,off,4009.924744,17
6000x6000.png,8,dynamic,1,off-avx2,4009.07836,17
6000x6000.png,8,dynamic,1,omp,4017.188527,17
6000x6000.png,8,dynamic,1,omp-avx2,4011.920829,17
6000x6000.png,8,dynamic,16,off,3907.161623,17
6000x6000.png,8,dynamic,16,off-avx2,3894.243688,17
6000x6000.png,8,dynamic,16,omp,3898.234044,17
6000x6000.png,8,dynamic,16,omp-avx2,3889.823919,17
6000x6000.png,8,static,,off,3874.7988539999997,17
6000x6000.png,8,static,,off-avx2,3862.9941040000003,17
6000x6000.png,8,static,,omp,3877.123945,17
6000x6000.png,8,static,,omp-avx2,3866.0787410000003,17
